Gene,Gene name,tau,max_nTPM
ENSG00000205649,HTN3,0.9999680400564626,127659.8
ENSG00000116703,PDC,0.9999676741554873,618.7
ENSG00000176782,DEFB104A,0.9999674426176136,1228.6
ENSG00000171201,SMR3B,0.9999668620354444,204297.4
ENSG00000179142,CYP11B2,0.9999664429530202,178.8
ENSG00000125903,DEFB129,0.9999661793584989,1833.2
ENSG00000167531,LALBA,0.999964467255589,2026.3
ENSG00000091704,CPA1,0.9999642044622544,223994.4
ENSG00000169605,GKN1,0.9999635805475946,35310.8
ENSG00000131050,BPIFA2,0.9999631190727081,6453.2
ENSG00000215704,CELA2B,0.9999626424257516,19273.2
ENSG00000205883,DEFB135,0.9999625468164794,53.4
ENSG00000137392,CLPS,0.9999616078835484,246873.6
ENSG00000204983,PRSS1,0.999960452525202,319717.0
ENSG00000187533,PRR27,0.9999595959595959,1039.5
ENSG00000177673,TEX44,0.9999590443686006,146.5
ENSG00000120563,LYZL1,0.9999589322381931,48.7
ENSG00000168925,CTRB1,0.9999575387696383,126232.8
ENSG00000215131,C16orf90,0.9999571734475374,46.7
ENSG00000180205,WFDC9,0.999957127545552,933.0
ENSG00000187021,PNLIPRP1,0.999956896551724,10208.0
ENSG00000170890,PLA2G1B,0.9999566870068233,110913.6
ENSG00000153002,CPB1,0.9999557543835544,213987.3
ENSG00000105507,CABP5,0.999955567897806,360.1
ENSG00000235718,MFRP,0.9999555414417276,314.9
ENSG00000101323,HAO1,0.9999542414642731,568.2
ENSG00000286920,SMIM40,0.9999539170506913,43.4
ENSG00000073598,FNDC8,0.9999536500579375,86.3
ENSG00000117601,SERPINC1,0.999952607637787,4726.5
ENSG00000158874,APOA2,0.9999524275669417,33506.8
ENSG00000187033,SAMD7,0.999951690821256,124.2
ENSG00000188800,TMCO2,0.9999514955537592,123.7
ENSG00000256713,PGA5,0.99995105256541,35793.5
ENSG00000219073,CELA3B,0.9999476854889205,46793.9
ENSG00000204363,SPANXN5,0.9999476439790576,38.2
ENSG00000134812,CBLIF,0.9999474747474747,1485.0
ENSG00000175520,UBQLN3,0.9999471249173827,151.3
ENSG00000123561,SERPINA7,0.999946949602122,263.9
ENSG00000170950,PGK2,0.9999464668094218,186.8
ENSG00000168928,CTRB2,0.9999434535974138,94683.3
ENSG00000124827,GCM2,0.9999434114793856,247.4
ENSG00000179751,SYCN,0.9999406674722323,26730.7
ENSG00000134538,SLCO1B1,0.9999402747362134,502.3
ENSG00000176256,HMGB4,0.9999389148401004,556.6
ENSG00000171195,MUC7,0.9999372734276318,25571.3
ENSG00000134551,PRH2,0.9999370417006146,21601.6
ENSG00000180219,GARIN6,0.9999369085173501,31.7
ENSG00000229859,PGA3,0.9999365507270623,63357.7
ENSG00000126549,STATH,0.999935416180928,8578.0
ENSG00000182459,TEX19,0.9999333333333333,30.0
ENSG00000234186,C16orf82,0.9999321778447626,265.4
ENSG00000183559,C10orf120,0.9999310344827586,29.0
ENSG00000125788,DEFB126,0.9999305842492356,1210.1
ENSG00000171495,MROH2B,0.9999290780141844,28.2
ENSG00000229183,PGA4,0.9999287080295425,131038.6
ENSG00000286135,ENSG00000286135,0.9999283154121863,111.6
ENSG00000181552,EDDM3B,0.9999272697218893,2419.9
ENSG00000180305,WFDC10A,0.9999262808698858,271.3
ENSG00000166329,CCDC182,0.9999250936329588,26.7
ENSG00000180043,GARIN5B,0.9999239543726236,26.3
ENSG00000163424,TEX55,0.9999203187250996,50.2
ENSG00000186562,DEFB105A,0.999919382504288,1166.0
ENSG00000124449,IRGC,0.9999192462987887,148.6
ENSG00000180210,F2,0.9999191848208011,1138.4
ENSG00000230601,TEX48,0.9999190283400811,24.7
ENSG00000091583,APOH,0.9999180049459224,16781.5
ENSG00000184560,SPEM2,0.9999177631578946,121.6
ENSG00000170367,CST5,0.9999170738930846,2025.9
ENSG00000101441,CST4,0.9999165582094477,27276.5
ENSG00000149651,SPINT4,0.9999164133738603,263.2
ENSG00000237763,AMY1A,0.9999158236157232,7769.4
ENSG00000204006,C1orf185,0.9999156118143461,23.7
ENSG00000185662,SMIM23,0.9999152542372882,23.6
ENSG00000154007,ASB17,0.9999141630901288,46.6
ENSG00000174015,CBY2,0.9999139784946237,93.0
ENSG00000158901,WFDC8,0.9999122127549704,387.3
ENSG00000105428,ZNRF4,0.9999111111111111,112.5
ENSG00000100652,SLC10A1,0.9999097970433475,399.1
ENSG00000151475,SLC25A31,0.9999095022624434,44.2
ENSG00000204379,XAGE1A,0.999909090909091,44.0
ENSG00000198033,TUBA3C,0.9999076923076923,390.0
ENSG00000125815,CST8,0.9999069767441862,21.5
ENSG00000167419,LPO,0.9999069575105964,967.3
ENSG00000134200,TSHB,0.9999064371257487,1603.2
ENSG00000160882,CYP11B1,0.999904918522948,3344.5
ENSG00000166930,MS4A5,0.9999036144578314,41.5
ENSG00000203784,LELP1,0.9999033909767172,1035.1
ENSG00000231989,PPP1R2B,0.9999024390243904,20.5
ENSG00000230657,PRB4,0.9999020750757752,3431.2
ENSG00000203730,TEDDM1,0.9999006805223467,543.7
ENSG00000069206,ADAM7,0.9999005427524083,3519.1
ENSG00000237524,TEX51,0.9998996655518394,59.8
ENSG00000273111,LYPD4,0.9998994974874371,99.5
ENSG00000113600,C9,0.999896940945526,1222.6
ENSG00000171564,FGB,0.9998966882992936,16764.8
ENSG00000103023,PRSS54,0.9998966408268735,38.7
ENSG00000175206,NPPA,0.9998962657041717,57628.0
ENSG00000172179,PRL,0.9998959711888691,58560.7
ENSG00000259384,GH1,0.9998953668841178,56119.9
ENSG00000176988,FMR1NB,0.9998941798941798,56.7
ENSG00000124232,RBPJL,0.999893466681161,919.9
ENSG00000158516,CPA2,0.9998929886279965,42780.5
ENSG00000234776,C11orf94,0.9998907103825136,54.9
ENSG00000131808,FSHB,0.9998893916540976,198.9
ENSG00000151005,TKTL2,0.9998888888888888,54.0
ENSG00000114349,GNAT1,0.9998866147785144,1040.7
ENSG00000112273,HDGFL1,0.9998857142857144,87.5
ENSG00000204193,TXNDC8,0.9998857142857144,17.5
ENSG00000169344,UMOD,0.999883387407721,2126.7
ENSG00000068985,PAGE1,0.9998823529411764,17.0
ENSG00000229972,IQCF3,0.9998822374877331,101.9
ENSG00000138161,CUZD1,0.9998814489571899,2277.5
ENSG00000113905,HRG,0.9998811257626451,5081.0
ENSG00000125975,C20orf173,0.9998809523809524,33.6
ENSG00000196156,KRTAP4-3,0.9998809523809524,16.8
ENSG00000184786,DYNLT2,0.9998802395209581,16.7
ENSG00000198398,TMEM207,0.9998795180722891,16.6
ENSG00000275896,PRSS2,0.9998791776258226,229146.3
ENSG00000106631,MYL7,0.9998774857635583,22266.8
ENSG00000122852,SFTPA1,0.9998769405811637,6679.7
ENSG00000121410,A1BG,0.9998761281189169,565.1
ENSG00000129862,VCY1B,0.9998755832037325,64.3
ENSG00000157131,C8A,0.9998750807667457,464.3
ENSG00000130561,SAG,0.9998749908081476,1359.9
ENSG00000164113,ADAD1,0.9998741007194245,111.2
ENSG00000170835,CEL,0.9998725552631378,104264.8
ENSG00000124157,SEMG2,0.9998721803744891,9810.7
ENSG00000170369,CST2,0.9998716284693207,5624.3
ENSG00000175336,APOF,0.9998715973292245,389.4
ENSG00000122304,PRM2,0.9998713671046865,11179.1
ENSG00000124233,SEMG1,0.9998711357298178,28650.3
ENSG00000118245,TNP1,0.9998709140120756,5763.6
ENSG00000140107,SLC25A47,0.9998702830188679,508.8
ENSG00000175646,PRM1,0.9998701461681232,15140.1
ENSG00000250741,NT5C1B-RDH14,0.9998701298701299,15.4
ENSG00000125831,CST11,0.9998691494715652,198.7
ENSG00000188992,LIPI,0.9998686205154118,395.8
ENSG00000185176,AQP12B,0.9998609041231993,201.3
ENSG00000110243,APOA5,0.9998593530239099,568.8
ENSG00000184945,AQP12A,0.999858870967742,99.2
ENSG00000205359,SLCO6A1,0.9998586572438163,28.3
ENSG00000139574,NPFF,0.9998576894676782,1489.7
ENSG00000218823,PAPOLB,0.9998566308243727,27.9
ENSG00000206203,TSSK2,0.9998563535911602,181.0
ENSG00000172482,AGXT,0.9998556441460345,1191.5
ENSG00000205445,KRTAP10-2,0.9998550724637681,13.8
ENSG00000119614,VSX2,0.9998538011695907,68.4
ENSG00000161652,IZUMO2,0.9998534798534798,54.6
ENSG00000169347,GP2,0.9998530915239807,33354.1
ENSG00000164645,TEX47,0.9998518518518519,27.0
ENSG00000171560,FGA,0.9998511757695551,17201.5
ENSG00000055957,ITIH1,0.9998508204873197,1407.7
ENSG00000179580,RNF151,0.9998494623655916,186.0
ENSG00000113262,GRM6,0.9998484848484849,39.6
ENSG00000101200,AVP,0.9998472861085557,4348.0
ENSG00000173431,RNASE8,0.9998452611218569,51.7
ENSG00000212122,TSSK1B,0.9998452611218568,51.7
ENSG00000273976,GOLGA6L1,0.99984375,12.8
ENSG00000074803,SLC12A1,0.9998434677904876,664.4
ENSG00000120937,NPPB,0.9998431502728273,4819.9
ENSG00000102055,PPP1R2C,0.9998425196850395,76.2
ENSG00000268221,OPN1MW,0.9998412698412699,12.6
ENSG00000112337,SLC17A2,0.9998387096774194,74.4
ENSG00000258436,RNASE12,0.9998386360176588,656.9
ENSG00000213265,TSGA13,0.9998373983739838,12.3
ENSG00000258223,PRSS58,0.9998360655737705,24.4
ENSG00000161610,HCRT,0.9998353293413174,400.8
ENSG00000213416,KRTAP4-12,0.9998347107438016,24.2
ENSG00000131686,CA6,0.9998346097718249,8839.7
ENSG00000163206,SMCP,0.9998327059807611,717.3
