Gene,Gene name,tau,max_nTPM
ENSG00000117425,PTCH2,0.9294499294781382,70.9
ENSG00000145283,SLC10A6,0.9294308943089432,12.3
ENSG00000072042,RDH11,0.9293958257048699,546.2
ENSG00000211880,TRAJ9,0.9293950177935943,28.1
ENSG00000139193,CD27,0.929393063583815,138.4
ENSG00000134285,FKBP11,0.9293570510072868,466.6
ENSG00000162552,WNT4,0.9293506493506493,38.5
ENSG00000112992,NNT,0.9293366778149387,358.8
ENSG00000149927,DOC2A,0.9293347873500547,91.7
ENSG00000196503,ARL9,0.9292727272727273,11.0
ENSG00000135100,HNF1A,0.9292424242424242,13.2
ENSG00000070388,FGF22,0.9292307692307693,13.0
ENSG00000105880,DLX5,0.9291954022988504,26.1
ENSG00000134716,CYP2J2,0.9291733723482076,136.7
ENSG00000160013,PTGIR,0.9291632373113853,72.9
ENSG00000137142,IGFBPL1,0.9291612903225805,15.5
ENSG00000179456,ZBTB18,0.9291471698113208,265.0
ENSG00000165323,FAT3,0.9291176470588236,13.6
ENSG00000084693,AGBL5,0.9291130820399114,180.4
ENSG00000006468,ETV1,0.9290967741935483,124.0
ENSG00000123240,OPTN,0.9290689325035902,835.6
ENSG00000152954,NRSN1,0.9290425531914894,75.2
ENSG00000109390,NDUFC1,0.9289534421010742,251.3
ENSG00000197321,SVIL,0.9289300466355762,750.5
ENSG00000121895,TMEM156,0.9289243027888447,25.1
ENSG00000067177,PHKA1,0.9289073881373571,96.1
ENSG00000149926,TLCD3B,0.9289001009081737,99.1
ENSG00000065600,PACC1,0.9288603988603988,70.2
ENSG00000175311,ANKS4B,0.9287692307692308,13.0
ENSG00000179915,NRXN1,0.9287483530961792,75.9
ENSG00000140527,WDR93,0.9287037037037037,10.8
ENSG00000165480,SKA3,0.9286725663716814,11.3
ENSG00000140945,CDH13,0.9286548042704627,140.5
ENSG00000166828,SCNN1G,0.9286363636363637,39.6
ENSG00000184489,PTP4A3,0.9286310576582949,565.4
ENSG00000151834,GABRA2,0.9285790884718499,37.3
ENSG00000137101,CD72,0.9285761589403974,60.4
ENSG00000148082,SHC3,0.9285569620253165,39.5
ENSG00000187764,SEMA4D,0.9285293214614677,325.7
ENSG00000079263,SP140,0.9285277246653919,52.3
ENSG00000124772,CPNE5,0.9285193621867882,131.7
ENSG00000166845,C18orf54,0.9285185185185185,16.2
ENSG00000108511,HOXB6,0.9285121107266437,57.8
ENSG00000099377,HSD3B7,0.9285106382978725,131.6
ENSG00000184619,KRBA2,0.9284012539184953,31.9
ENSG00000187860,CCDC157,0.9284,30.0
ENSG00000235568,NFAM1,0.9283848797250859,29.1
ENSG00000211861,TRAJ28,0.9283211678832117,13.7
ENSG00000204248,COL11A2,0.9283105022831051,21.9
ENSG00000175600,SUGCT,0.9283091787439615,41.4
ENSG00000204219,TCEA3,0.9282993502128614,446.3
ENSG00000211856,TRAJ33,0.9282954545454547,17.6
ENSG00000167315,ACAA2,0.9282593062605753,945.6
ENSG00000211974,IGHV2-70D,0.9282532239155921,85.3
ENSG00000164124,TMEM144,0.9282525160109789,218.6
ENSG00000211625,IGKV3D-20,0.9282316362223086,257.3
ENSG00000120471,TP53AIP1,0.9281884057971016,27.6
ENSG00000118785,SPP1,0.9281842917851357,3270.9
ENSG00000172831,CES2,0.9281529625151148,661.6
ENSG00000167077,MEI1,0.9281420765027321,36.6
ENSG00000165548,TMEM63C,0.9281261595547309,53.9
ENSG00000104059,ENTREP2,0.9281034482758619,23.2
ENSG00000174837,ADGRE1,0.9280575539568348,13.9
ENSG00000106526,ACTR3C,0.9280300187617262,53.3
ENSG00000065534,MYLK,0.927946410097248,1933.2
ENSG00000169085,VXN,0.927883597883598,113.4
ENSG00000197430,OPALIN,0.9278535534816942,139.3
ENSG00000211898,IGHD,0.9278395624430265,109.7
ENSG00000152969,JAKMIP1,0.9278,70.0
ENSG00000110723,EXPH5,0.9277868852459015,24.4
ENSG00000081181,ARG2,0.927767554479419,206.5
ENSG00000090376,IRAK3,0.927750677506775,73.8
ENSG00000052802,MSMO1,0.9277337795129206,537.9
ENSG00000211951,IGHV2-26,0.9277094972067037,214.8
ENSG00000250565,ATP6V1E2,0.9277037037037035,27.0
ENSG00000170745,KCNS3,0.9276674937965259,80.6
ENSG00000178172,SPINK6,0.9276335877862597,13.1
ENSG00000108825,PTGES3L-AARSD1,0.927560975609756,16.4
ENSG00000104112,SCG3,0.9275144508670521,155.7
ENSG00000160200,CBS,0.9275084554678692,177.4
ENSG00000215217,C5orf49,0.9275,71.2
ENSG00000241244,IGKV1D-16,0.927496757457847,154.2
ENSG00000180828,BHLHE22,0.9274561403508771,22.8
ENSG00000115919,KYNU,0.9274334140435836,82.6
ENSG00000198643,FAM3D,0.9273849509269357,458.5
ENSG00000061337,LZTS1,0.927372549019608,51.0
ENSG00000131979,GCH1,0.9273666092943202,58.1
ENSG00000184012,TMPRSS2,0.9273576309794989,263.4
ENSG00000158258,CLSTN2,0.9273551637279597,39.7
ENSG00000154269,ENPP3,0.9273508353221955,41.9
ENSG00000151014,NOCT,0.9273469387755101,34.3
ENSG00000187479,C11orf96,0.9273429951690821,1697.4
ENSG00000148985,PGAP2,0.9273163565132222,204.2
ENSG00000174951,FUT1,0.9272555205047318,31.7
ENSG00000180354,MTURN,0.9272022520571676,1847.2
ENSG00000155011,DKK2,0.9271830985915491,14.2
ENSG00000213398,LCAT,0.9271796733212341,275.5
ENSG00000106976,DNM1,0.9271760045274475,353.4
ENSG00000184500,PROS1,0.9271725179312947,264.9
ENSG00000125834,STK35,0.927168784029038,110.2
ENSG00000169418,NPR1,0.927142857142857,127.4
ENSG00000008118,CAMK1G,0.9271101871101871,48.1
ENSG00000126787,DLGAP5,0.9271099744245526,39.1
ENSG00000109929,SC5D,0.9271051916281599,367.9
ENSG00000179262,RAD23A,0.9270782250189865,921.7
ENSG00000144837,PLA1A,0.9270444104134762,130.6
ENSG00000162706,CADM3,0.9270402476780185,323.0
ENSG00000177990,DPY19L2,0.9270256410256411,78.0
ENSG00000172803,SNX32,0.9269662921348315,26.7
ENSG00000120053,GOT1,0.9269510904086385,944.6
ENSG00000223648,IGHV3-64,0.926930693069307,30.3
ENSG00000123689,G0S2,0.9268900424728644,1271.4
ENSG00000138613,APH1B,0.9268705035971222,111.2
ENSG00000079385,CEACAM1,0.9268687743611953,230.9
ENSG00000186891,TNFRSF18,0.9268493150684932,36.5
ENSG00000181588,MEX3D,0.9268200270635996,73.9
ENSG00000121753,ADGRB2,0.9268005354752341,74.7
ENSG00000013588,GPRC5A,0.9267997898055702,190.3
ENSG00000043591,ADRB1,0.9267883211678831,27.4
ENSG00000183248,PRR36,0.9267826086956522,46.0
ENSG00000116678,LEPR,0.9267268252666121,121.9
ENSG00000176204,LRRTM4,0.9267256637168141,11.3
ENSG00000136110,CNMD,0.9267226890756303,11.9
ENSG00000115828,QPCT,0.9267036352433764,162.3
ENSG00000078018,MAP2,0.9266631523458092,379.4
ENSG00000154493,C10orf90,0.9266310160427809,18.7
ENSG00000128645,HOXD1,0.9266279069767441,17.2
ENSG00000126264,HCST,0.9265439330543933,239.0
ENSG00000213918,DNASE1,0.9265247252747253,145.6
ENSG00000113569,NUP155,0.9264652567975831,66.2
ENSG00000170464,DNAJC18,0.9264140730717184,73.9
ENSG00000188517,COL25A1,0.9264039408866995,20.3
ENSG00000165802,NSMF,0.9263782296284973,654.1
ENSG00000171885,AQP4,0.9263148984198645,354.4
ENSG00000138587,MNS1,0.9263111111111112,45.0
ENSG00000142606,MMEL1,0.9263025210084034,23.8
ENSG00000060982,BCAT1,0.9262773722627737,54.8
ENSG00000111344,RASAL1,0.9262745098039217,56.1
ENSG00000189120,SP6,0.9262616822429908,21.4
ENSG00000214688,C10orf105,0.92625,12.8
ENSG00000101222,SPEF1,0.926231884057971,27.6
ENSG00000188687,SLC4A5,0.9262168674698796,41.5
ENSG00000174500,GCSAM,0.9262043795620439,27.4
ENSG00000186952,TMEM232,0.9262025316455694,15.8
ENSG00000164418,GRIK2,0.9261999999999999,10.0
ENSG00000100206,DMC1,0.9261818181818181,11.0
ENSG00000133477,FAM83F,0.9261696658097684,38.9
ENSG00000240891,PLCXD2,0.9261313868613139,13.7
ENSG00000164128,NPY1R,0.9261224489795918,112.7
ENSG00000269113,TRABD2B,0.9261083743842363,20.3
ENSG00000129951,PLPPR3,0.9260696517412935,40.2
ENSG00000186792,HYAL3,0.9260641399416909,34.3
ENSG00000248771,SMIM31,0.9260606060606061,23.1
ENSG00000225968,ELFN1,0.9260606060606059,13.2
ENSG00000137825,ITPKA,0.9260034904013962,57.3
ENSG00000112195,TREML2,0.9259854014598541,13.7
ENSG00000064199,SPA17,0.9259400544959128,36.7
ENSG00000204610,TRIM15,0.9259259259259259,16.2
ENSG00000257767,ENSG00000257767,0.9259234608985025,60.1
ENSG00000114812,VIPR1,0.9259193548387097,124.0
ENSG00000173376,NDNF,0.9259163346613545,100.4
ENSG00000259680,IGHV3OR16-17,0.9259030837004406,22.7
ENSG00000183628,DGCR6,0.9258931297709923,196.5
ENSG00000173221,GLRX,0.9258811856629046,806.3
ENSG00000135426,TESPA1,0.9258469259723967,79.7
ENSG00000185905,C16orf54,0.9258097686375322,38.9
ENSG00000249242,TMEM150C,0.9258084772370487,127.4
ENSG00000211659,IGLV3-25,0.9258043526049682,2274.5
ENSG00000188820,CALHM6,0.9257668711656442,130.4
ENSG00000133985,TTC9,0.9257666666666666,60.0
ENSG00000149596,JPH2,0.925709219858156,112.8
ENSG00000211867,TRAJ22,0.9256666666666666,12.0
ENSG00000248712,CCDC153,0.9256652360515021,23.3
ENSG00000147889,CDKN2A,0.9256470588235294,42.5
ENSG00000137441,FGFBP2,0.9256420233463034,51.4
ENSG00000150394,CDH8,0.925625,16.0
ENSG00000117724,CENPF,0.9255696202531647,23.7
ENSG00000181192,DHTKD1,0.9255537190082646,121.0
ENSG00000197165,SULT1A2,0.9255397148676171,49.1
ENSG00000118307,DNAI7,0.9255140186915888,21.4
ENSG00000172031,EPHX4,0.9254929577464788,14.2
ENSG00000100095,SEZ6L,0.92548596112311,46.3
ENSG00000174010,KLHL15,0.9254850746268657,53.6
ENSG00000120149,MSX2,0.9254603174603174,31.5
ENSG00000107331,ABCA2,0.9254463784390792,178.1
ENSG00000145476,CYP4V2,0.9254288407163053,106.1
ENSG00000203772,SPRN,0.9253968253968254,12.6
ENSG00000213886,UBD,0.9253596614950635,141.8
ENSG00000103184,SEC14L5,0.9253561253561253,35.1
ENSG00000137766,UNC13C,0.925323383084577,40.2
ENSG00000085563,ABCB1,0.9252653485952134,96.1
ENSG00000111432,FZD10,0.9252229299363058,15.7
ENSG00000105808,RASA4,0.9252197309417041,223.0
ENSG00000164855,TMEM184A,0.9251986379114644,88.1
ENSG00000066827,ZFAT,0.9251877133105804,29.3
ENSG00000008277,ADAM22,0.9251452282157677,48.2
ENSG00000103710,RASL12,0.925109649122807,273.6
ENSG00000154118,JPH3,0.9251025869759144,112.1
ENSG00000259417,CTXND1,0.9250996015936255,25.1
ENSG00000087510,TFAP2C,0.925089463220676,50.3
ENSG00000183087,GAS6,0.9250787589498808,838.0
ENSG00000132692,BCAN,0.9250042265426882,236.6
ENSG00000177301,KCNA2,0.9250000000000002,33.6
ENSG00000196549,MME,0.9249092645654251,314.1
ENSG00000242371,IGKV1-39,0.9248538622129437,191.6
ENSG00000175701,MTLN,0.9248492257538712,736.2
ENSG00000100678,SLC8A3,0.9248421052631578,19.0
ENSG00000182389,CACNB4,0.9248192771084338,24.9
ENSG00000105649,RAB3A,0.9248103498970892,340.1
ENSG00000211972,IGHV3-66,0.9248000000000001,97.5
ENSG00000136244,IL6,0.924789391575663,256.4
ENSG00000211868,TRAJ21,0.9247787610619469,11.3
ENSG00000162989,KCNJ3,0.9247715736040608,39.4
ENSG00000162951,LRRTM1,0.9247706422018349,21.8
ENSG00000167157,PRRX2,0.9247307692307691,52.0
ENSG00000066248,NGEF,0.924724409448819,139.7
ENSG00000170667,RASA4B,0.9246995708154506,93.2
ENSG00000087237,CETP,0.924697508896797,56.2
ENSG00000211959,IGHV4-39,0.9246907725745899,506.1
ENSG00000186188,FFAR4,0.9246728971962617,10.7
ENSG00000214491,SEC14L6,0.9246700507614213,19.7
ENSG00000136378,ADAMTS7,0.9246689895470384,28.7
ENSG00000258947,TUBB3,0.924641301190822,344.3
ENSG00000140479,PCSK6,0.9246246648793566,149.2
ENSG00000163331,DAPL1,0.9246122309531944,292.7
ENSG00000087884,AAMDC,0.9246074646074645,621.6
ENSG00000257365,FNTB,0.9245634629493763,136.3
ENSG00000204644,ZFP57,0.9245454545454546,17.6
ENSG00000180440,SERTM1,0.9245226130653265,39.8
ENSG00000170577,SIX2,0.9244999999999999,32.0
ENSG00000110848,CD69,0.9244987468671679,159.6
ENSG00000109610,SOD3,0.9244855928200283,1058.5
ENSG00000139352,ASCL1,0.924468085106383,28.2
ENSG00000184160,ADRA2C,0.9244553483807654,101.9
ENSG00000038945,MSR1,0.924452296819788,113.2
ENSG00000211674,IGLJ1,0.924442082890542,94.1
ENSG00000107902,LHPP,0.9244330161995373,388.9
ENSG00000211765,TRBJ2-2,0.9243986254295532,29.1
ENSG00000132744,ACY3,0.9243835616438355,73.0
ENSG00000080823,MOK,0.9242771599657825,116.9
ENSG00000164093,PITX2,0.9242574257425744,40.4
ENSG00000188674,C2orf80,0.9242424242424242,39.6
ENSG00000187902,SHISA7,0.9242276422764228,24.6
ENSG00000143367,TUFT1,0.9242205323193917,105.2
ENSG00000116133,DHCR24,0.9241990521327014,1055.0
ENSG00000115414,FN1,0.9241676054802487,2751.7
ENSG00000078804,TP53INP2,0.9241576576576577,888.0
ENSG00000088992,TESC,0.9241417069243155,310.5
ENSG00000211768,TRBJ2-4,0.9241340782122904,17.9
ENSG00000100453,GZMB,0.9241335453100159,62.9
ENSG00000114115,RBP1,0.9241267512653121,1363.3
ENSG00000147488,ST18,0.924109589041096,21.9
ENSG00000054219,LY75,0.9241039671682626,73.1
ENSG00000020633,RUNX3,0.9241025641025642,66.3
ENSG00000148672,GLUD1,0.9240915959548994,860.3
ENSG00000084628,NKAIN1,0.9240845070422534,28.4
ENSG00000071991,CDH19,0.9240677966101694,35.4
ENSG00000211946,IGHV3-20,0.9240612648221342,202.4
ENSG00000171124,FUT3,0.9240583554376659,150.8
ENSG00000176381,PRR18,0.9240319361277446,50.1
ENSG00000211877,TRAJ12,0.9239999999999998,29.0
ENSG00000157404,KIT,0.9239646464646464,79.2
ENSG00000186205,MTARC1,0.9239626168224297,160.5
ENSG00000143867,OSR1,0.923896103896104,100.1
ENSG00000100167,SEPTIN3,0.9238658777120317,253.5
ENSG00000089847,ANKRD24,0.9238297872340425,32.9
ENSG00000088836,SLC4A11,0.923825857519789,75.8
ENSG00000278535,DHRS11,0.9237696850393701,203.2
ENSG00000163347,CLDN1,0.9237556092509491,289.7
ENSG00000132321,IQCA1,0.9237552742616034,47.4
ENSG00000154839,SKA1,0.92375,11.2
ENSG00000169607,CKAP2L,0.9237096774193548,12.4
ENSG00000107537,PHYH,0.9237039410445369,624.2
ENSG00000161558,TMEM143,0.923691275167785,89.4
ENSG00000211935,IGHV1-3,0.9236372950819671,585.6
ENSG00000162444,RBP7,0.9236187242299297,412.3
ENSG00000148814,LRRC27,0.9236111111111112,72.0
ENSG00000112414,ADGRG6,0.9235714285714285,67.2
ENSG00000160323,ADAMTS13,0.9235519999999998,62.5
ENSG00000128714,HOXD13,0.9235443037974683,15.8
ENSG00000183421,RIPK4,0.9235344827586208,69.6
ENSG00000163600,ICOS,0.9235106382978722,18.8
ENSG00000169313,P2RY12,0.9234844868735083,41.9
ENSG00000134775,FHOD3,0.9234588563458856,143.4
ENSG00000197329,PELI1,0.9234553033811949,215.9
ENSG00000132698,RAB25,0.9233849177106364,407.1
ENSG00000154262,ABCA6,0.9233470507544582,72.9
ENSG00000165046,LETM2,0.9233333333333333,22.2
ENSG00000211445,GPX3,0.9233279369190919,10500.8
ENSG00000170909,OSCAR,0.9233217993079584,28.9
ENSG00000103942,HOMER2,0.9231879981247069,213.3
ENSG00000278661,TRAJ37,0.923166023166023,25.9
ENSG00000078269,SYNJ2,0.9231624674196351,115.1
ENSG00000133958,UNC79,0.923125,12.8
ENSG00000117472,TSPAN1,0.923120057512581,556.4
ENSG00000009694,TENM1,0.9230939226519338,18.1
ENSG00000134955,SLC37A2,0.9230913978494624,74.4
ENSG00000184937,WT1,0.923089430894309,49.2
ENSG00000109182,CWH43,0.9230845771144278,40.2
ENSG00000162188,GNG3,0.923083207912277,465.1
ENSG00000169282,KCNAB1,0.9230382513661202,91.5
ENSG00000157005,SST,0.9229421221864952,622.0
ENSG00000176894,PXMP2,0.9229240162822252,294.8
ENSG00000162144,CYB561A3,0.9229021218343598,292.2
ENSG00000204396,VWA7,0.9229,20.0
ENSG00000188613,NANOS1,0.9228729281767954,36.2
ENSG00000128311,TST,0.9228658865886588,555.5
ENSG00000112280,COL9A1,0.9228451882845187,23.9
ENSG00000129167,TPH1,0.9227956989247312,18.6
ENSG00000129990,SYT5,0.922754716981132,106.0
ENSG00000122188,LAX1,0.9227272727272726,19.8
ENSG00000211964,IGHV3-48,0.9226906277299389,801.3
ENSG00000071539,TRIP13,0.9226523297491039,27.9
ENSG00000165810,BTNL9,0.9226451886392539,235.9
ENSG00000258818,RNASE4,0.9226386404293383,447.2
ENSG00000170419,VSTM2A,0.9226168224299066,32.1
ENSG00000118804,STBD1,0.922584800343495,232.9
ENSG00000073861,TBX21,0.9225454545454546,11.0
ENSG00000196542,SPTSSB,0.9225373134328356,67.0
ENSG00000150627,WDR17,0.9225,26.4
ENSG00000121621,KIF18A,0.9225,12.8
ENSG00000072401,UBE2D1,0.9224634334103157,129.9
ENSG00000171916,LGALS9C,0.9224074074074073,10.8
ENSG00000004776,HSPB6,0.9223986725038835,2832.4
ENSG00000150625,GPM6A,0.9223648208469055,614.0
ENSG00000167654,ATCAY,0.9223320659062105,78.9
ENSG00000278195,SSTR3,0.9223300970873787,10.3
ENSG00000053524,MCF2L2,0.9222699386503068,32.6
ENSG00000167644,C19orf33,0.9222576900754497,689.2
ENSG00000119147,ECRG4,0.9221726479146458,412.4
ENSG00000173805,HAP1,0.922158273381295,41.7
ENSG00000130775,THEMIS2,0.9221544515494344,203.3
ENSG00000008226,DLEC1,0.922122905027933,17.9
ENSG00000163568,AIM2,0.9220833333333335,48.0
ENSG00000140092,FBLN5,0.9220736086175944,668.4
ENSG00000145194,ECE2,0.9220309810671256,58.1
ENSG00000120075,HOXB5,0.922,33.0
ENSG00000127472,PLA2G5,0.9219748653500899,55.7
ENSG00000166523,CLEC4E,0.92193006993007,71.5
ENSG00000241935,HOGA1,0.9219223659889093,54.1
ENSG00000288634,ENSG00000288634,0.921875,25.6
ENSG00000241697,TMEFF1,0.9218604651162791,12.9
ENSG00000101276,SLC52A3,0.9218376068376068,46.8
ENSG00000138271,GPR87,0.9218052256532066,42.1
ENSG00000119711,ALDH6A1,0.9217256011315419,353.5
ENSG00000146729,NIPSNAP2,0.9217119453924915,732.5
ENSG00000104812,GYS1,0.9217118020728854,299.1
ENSG00000104313,EYA1,0.9217040358744393,22.3
ENSG00000165698,SPACA9,0.921685393258427,124.6
ENSG00000123700,KCNJ2,0.9216519174041298,33.9
ENSG00000167851,CD300A,0.9216296296296297,94.5
ENSG00000160183,TMPRSS3,0.9216143497757847,22.3
ENSG00000183963,SMTN,0.9216055045871561,828.4
ENSG00000185760,KCNQ5,0.921578947368421,15.2
ENSG00000152207,CYSLTR2,0.9215740740740741,21.6
ENSG00000198846,TOX,0.9215573770491803,48.8
ENSG00000073756,PTGS2,0.9215201586252477,151.3
ENSG00000006747,SCIN,0.9214500683994529,73.1
ENSG00000146670,CDCA5,0.9214285714285714,50.4
ENSG00000176076,KCNE5,0.9213253012048193,16.6
ENSG00000144283,PKP4,0.9213210354061293,336.1
ENSG00000211976,IGHV3-73,0.9213132075471697,132.5
ENSG00000168143,FAM83B,0.921311475409836,24.4
ENSG00000196090,PTPRT,0.9213043478260868,13.8
ENSG00000106853,PTGR1,0.9212925292529254,555.5
ENSG00000254979,ENSG00000254979,0.9212799999999999,12.5
ENSG00000242766,IGKV1D-17,0.9212727272727272,11.0
ENSG00000120049,KCNIP2,0.9212696198116498,286.7
ENSG00000175879,HOXD8,0.9212539851222104,94.1
ENSG00000174371,EXO1,0.9212195121951219,16.4
ENSG00000182575,NXPH3,0.92121387283237,34.6
ENSG00000188322,SBK1,0.9212093023255812,43.0
ENSG00000156284,CLDN8,0.9211128284389489,64.7
ENSG00000144834,TAGLN3,0.9211040876527603,474.6
ENSG00000177807,KCNJ10,0.9211013986013985,114.4
ENSG00000173597,SULT1B1,0.9210718113612004,93.3
ENSG00000171951,SCG2,0.9210668708524758,391.8
ENSG00000275395,FCGBP,0.9210488058151608,192.6
ENSG00000114948,ADAM23,0.9209511568123393,77.8
ENSG00000110448,CD5,0.9209237875288683,43.3
ENSG00000179750,APOBEC3B,0.9208955223880598,26.8
ENSG00000241644,INMT,0.9208923076923077,195.0
ENSG00000251546,IGKV1D-39,0.9208772914946327,6055.0
ENSG00000006283,CACNA1G,0.9208290155440416,19.3
ENSG00000152932,RAB3C,0.9208150470219435,31.9
ENSG00000253846,PCDHGA10,0.9208053691275169,14.9
ENSG00000160233,LRRC3,0.9207947019867548,15.1
ENSG00000151468,CCDC3,0.920755326016785,309.8
ENSG00000158019,BABAM2,0.920750910619221,356.9
ENSG00000123572,NRK,0.920677966101695,23.6
ENSG00000242076,IGKV1-33,0.9206614349775785,1605.6
ENSG00000099994,SUSD2,0.9206369426751592,94.2
ENSG00000180479,ZNF571,0.9205777166437416,72.7
ENSG00000249992,TMEM158,0.9205555555555556,82.8
ENSG00000267748,ENSG00000267748,0.9205504587155963,10.9
ENSG00000160255,ITGB2,0.9205129699795979,343.1
ENSG00000248905,FMN1,0.9205035971223022,27.8
ENSG00000074410,CA12,0.9204797047970479,271.0
ENSG00000104814,MAP4K1,0.9204355716878402,55.1
ENSG00000211654,IGLV5-37,0.9204145077720207,38.6
ENSG00000196632,WNK3,0.9203603603603605,11.1
ENSG00000180921,FAM83H,0.920352422907489,68.1
ENSG00000089356,FXYD3,0.9203417796110784,1697.0
ENSG00000211955,IGHV3-33,0.920315685036529,2217.4
ENSG00000162998,FRZB,0.920308855972266,317.3
ENSG00000158423,RIBC1,0.9202824858757062,35.4
ENSG00000164303,ENPP6,0.9202797202797203,28.6
ENSG00000163508,EOMES,0.9202649006622518,15.1
ENSG00000236279,CLEC2L,0.9202110817941953,37.9
ENSG00000124205,EDN3,0.9201953125,102.4
ENSG00000136297,MMD2,0.920142857142857,28.0
ENSG00000128710,HOXD10,0.9201041666666666,38.4
ENSG00000121005,CRISPLD1,0.9200000000000002,66.0
ENSG00000186810,CXCR3,0.9200000000000002,15.3
ENSG00000184232,OAF,0.92,407.9
ENSG00000186854,TRABD2A,0.9199999999999998,40.2
ENSG00000166900,STX3,0.9199517241379308,290.0
ENSG00000211660,IGLV2-23,0.9199331058933707,1494.9
ENSG00000282639,IGHV3-64D,0.9199288818648754,253.1
ENSG00000164690,SHH,0.9198675496688742,15.1
ENSG00000197142,ACSL5,0.9198176441596846,405.8
ENSG00000003987,MTMR7,0.9197718631178708,26.3
ENSG00000125388,GRK4,0.9197474747474748,39.6
ENSG00000054654,SYNE2,0.919719827586207,185.6
ENSG00000077420,APBB1IP,0.9197191426459719,135.3
ENSG00000183831,ANKRD45,0.9196638655462186,11.9
ENSG00000078328,RBFOX1,0.9196534653465346,80.8
ENSG00000060558,GNA15,0.9196177062374246,99.4
ENSG00000110063,DCPS,0.9195974842767295,79.5
ENSG00000211644,IGLV1-51,0.9195409952187004,2823.5
ENSG00000121316,PLBD1,0.9195335061088484,270.1
ENSG00000150337,FCGR1A,0.9195157894736843,95.0
ENSG00000171450,CDK5R2,0.9195121951219513,57.4
ENSG00000167971,CASKIN1,0.9195113438045374,57.3
ENSG00000099889,ARVCF,0.9195047619047619,52.5
ENSG00000169242,EFNA1,0.9194921301154249,476.5
ENSG00000052749,RRP12,0.9194644935972061,85.9
ENSG00000278857,IGKV1D-12,0.9194618834080716,44.6
ENSG00000213023,SYT3,0.9194285714285714,24.5
ENSG00000128218,VPREB3,0.9194043321299639,110.8
ENSG00000007129,CEACAM21,0.9193939393939395,16.5
ENSG00000188783,PRELP,0.9193583868010998,545.5
ENSG00000157087,ATP2B2,0.9193181818181819,88.0
ENSG00000165244,ZNF367,0.919268292682927,24.6
ENSG00000179921,GPBAR1,0.9192642140468229,29.9
ENSG00000004468,CD38,0.9192529711375214,58.9
ENSG00000146192,FGD2,0.9192424242424242,39.6
ENSG00000197977,ELOVL2,0.9192260692464359,49.1
ENSG00000100583,SAMD15,0.9192,15.0
ENSG00000105278,ZFR2,0.919197080291971,27.4
ENSG00000142494,SLC47A1,0.919150641025641,124.8
ENSG00000188001,TPRG1,0.9191038696537678,49.1
ENSG00000185652,NTF3,0.9190943396226414,26.5
ENSG00000177511,ST8SIA3,0.919063829787234,23.5
ENSG00000203952,CCDC160,0.9190243902439025,12.3
ENSG00000080031,PTPRH,0.9190092879256965,64.6
ENSG00000134242,PTPN22,0.918941504178273,35.9
ENSG00000211666,IGLV2-14,0.9189401123640276,5019.4
ENSG00000121898,CPXM2,0.918926780341023,199.4
ENSG00000135766,EGLN1,0.9189045936395759,396.2
ENSG00000046653,GPM6B,0.9188893587033122,709.5
ENSG00000139364,TMEM132B,0.91888,12.5
ENSG00000156970,BUB1B,0.918855421686747,33.2
ENSG00000188372,ZP3,0.918848167539267,19.1
ENSG00000163453,IGFBP7,0.9188432586946165,4198.0
ENSG00000244437,IGKV3-15,0.9188162060638584,1863.5
ENSG00000169507,SLC38A11,0.9188157894736844,30.4
ENSG00000066926,FECH,0.9187500000000002,36.8
ENSG00000099617,EFNA2,0.9187301587301587,12.6
ENSG00000186638,KIF24,0.9186666666666664,10.5
ENSG00000181649,PHLDA2,0.918638184245661,74.9
ENSG00000149575,SCN2B,0.9186335403726709,48.3
ENSG00000228727,SAPCD1,0.9186181818181819,27.5
ENSG00000186479,RGS7BP,0.9186175115207373,21.7
ENSG00000213420,GPC2,0.9185964912280702,11.4
ENSG00000183807,FAM162B,0.91859477124183,61.2
ENSG00000183287,CCBE1,0.91859375,25.6
ENSG00000137713,PPP2R1B,0.9185723641126391,152.7
ENSG00000158008,EXTL1,0.9185064935064936,30.8
ENSG00000211669,IGLV3-10,0.9185007587253415,659.0
ENSG00000128242,GAL3ST1,0.9184917043740571,66.3
ENSG00000163710,PCOLCE2,0.918485294117647,136.0
ENSG00000203780,FANK1,0.9184829721362229,64.6
ENSG00000113231,PDE8B,0.9184747215081406,116.7
ENSG00000106701,FSD1L,0.9184538653366583,40.1
ENSG00000242689,CNTF,0.918448275862069,11.6
ENSG00000173546,CSPG4,0.9184417670682731,124.5
ENSG00000070731,ST6GALNAC2,0.9184278768233389,123.4
ENSG00000111640,GAPDH,0.9184190099561589,25843.3
ENSG00000180745,CLRN3,0.9184028605482717,83.9
ENSG00000211970,IGHV4-61,0.9183444444444443,360.0
ENSG00000009790,TRAF3IP3,0.9183209876543209,121.5
ENSG00000125319,HROB,0.9183177570093457,10.7
ENSG00000211648,IGLV1-47,0.9182918572192196,1683.7
ENSG00000124194,GDAP1L1,0.918287560581583,61.9
ENSG00000205362,MT1A,0.9182804288417071,475.7
ENSG00000165646,SLC18A2,0.9181868131868133,36.4
ENSG00000155367,PPM1J,0.918169014084507,71.0
ENSG00000163913,IFT122,0.9181447963800903,44.2
ENSG00000103150,MLYCD,0.918118811881188,20.2
ENSG00000137757,CASP5,0.9181012658227848,15.8
